529,288.456ms,53.5904ms
529,284.901ms,43.8592ms
530,281.237ms,43.2193ms
530,285.001ms,44.8451ms
530,285.587ms,54.429ms
530,283.733ms,44.5591ms
530,288.268ms,43.7233ms
530,280.483ms,43.8397ms
530,283.762ms,43.649ms
530,301.464ms,44.3414ms
530,283.584ms,43.8481ms
530,282.841ms,43.9946ms
531,291.503ms,77.5649ms
531,285.436ms,44.4649ms
531,284.445ms,49.9928ms
531,284.971ms,45.5805ms
531,285.875ms,43.6452ms
531,294.8ms,44.1522ms
531,287.382ms,47.1687ms
531,288.353ms,45.0659ms
531,286.462ms,44.6593ms
531,287.071ms,44.243ms
532,296.491ms,43.9421ms
532,287.989ms,44.5532ms
532,290.978ms,48.1982ms
532,289.154ms,42.8925ms
532,288.63ms,44.3045ms
532,283.509ms,53.1466ms
532,286.554ms,44.3549ms
532,285.907ms,44.2326ms
532,286.454ms,57.9525ms
532,298.584ms,44.4556ms
533,286.56ms,45.9549ms
533,296.924ms,50.7799ms
533,290.143ms,46.2087ms
533,290.591ms,43.3297ms
533,289.943ms,42.4152ms
533,286.262ms,46.7192ms
533,289.273ms,45.7768ms
533,288.821ms,183.046ms
533,291.502ms,44.112ms
533,291.059ms,45.338ms
534,286.988ms,43.5392ms
534,288.734ms,44.5526ms
534,290.111ms,44.5845ms
534,290.007ms,42.5321ms
534,289.268ms,46.1094ms
62,0.5372ms,1.8719ms
62,0.7943ms,0.7364ms
62,0.7961ms,0.4415ms
62,0.7893ms,0.4639ms
62,0.7767ms,0.7542ms
534,291.427ms,45.8784ms
534,295.686ms,45.4832ms
534,289.674ms,45.1014ms
534,290.021ms,46.4975ms
534,291.29ms,52.9487ms
535,292.05ms,49.1797ms
535,293.503ms,46.6858ms
535,294.102ms,48.6428ms
535,293.084ms,45.7826ms
535,294.896ms,44.9754ms
535,300.664ms,45.689ms
535,291.621ms,45.2648ms
535,291.933ms,47.5087ms
535,293.333ms,44.6062ms
535,290.643ms,50.7113ms
536,297.906ms,66.5644ms
536,295.136ms,44.4823ms
536,294.605ms,47.413ms
536,295.181ms,55.036ms
536,301.649ms,45.3992ms
536,291.424ms,45.7046ms
536,300.422ms,46.1368ms
536,295.038ms,48.387ms
536,295.917ms,57.1234ms
536,294.824ms,44.2536ms
537,290.959ms,46.3992ms
537,307.596ms,45.4673ms
537,300.719ms,44.2344ms
537,296.028ms,47.0093ms
537,295.342ms,49.3436ms
537,296.969ms,46.4653ms
537,297.207ms,46.8243ms
537,294.919ms,51.8835ms
537,295.534ms,43.2383ms
537,295.717ms,50.8155ms
538,292.979ms,45.4636ms
538,297.539ms,44.2501ms
538,298.576ms,47.8567ms
538,296.059ms,53.8511ms
538,297.377ms,45.1109ms
538,295.261ms,46.4048ms
538,298.216ms,44.5803ms
538,299.152ms,46.5579ms
538,298.471ms,61.2755ms
538,298.573ms,45.7964ms
539,301.767ms,53.3782ms
539,299.697ms,47.6982ms
539,300.373ms,45.3201ms
539,298.653ms,45.074ms
539,299.843ms,47.3757ms
62,0.554ms,1.6954ms
62,0.8004ms,0.4491ms
62,0.7957ms,0.4418ms
62,0.7858ms,0.4093ms
62,0.7954ms,0.4476ms
539,295.078ms,45.8299ms
539,296.66ms,46.3179ms
539,298.041ms,50.1211ms
539,298.016ms,46.3738ms
539,309.023ms,47.0031ms
540,295.568ms,62.126ms
